year,book_format,avg_price,avg_page_count,book_count,total_reviews,total_sales
1975,All Formats,11.439403508771935,47.79389312977099,7,285,13879.380000000003
1976,All Formats,27.74027777777778,141.08474576271186,5,72,9072.0
1977,All Formats,11.93443820224719,292.17931034482757,9,178,9191.71
1978,All Formats,15.211183053557084,408.04487179487177,11,1251,85899.93000000007
1979,All Formats,33.3524031007752,343.0175438596491,10,129,18520.869999999995
1980,All Formats,9.285087108013943,296.8272727272727,10,574,24622.009999999977
1981,All Formats,11.504429223744294,321.9208633093525,15,219,11478.96
1982,All Formats,14.687465753424663,133.13870967741934,19,438,29823.499999999978
1983,All Formats,8.985304212168474,133.94486215538848,25,1282,53241.03000000004
1984,All Formats,13.064053811659198,242.92282958199357,39,1115,66787.65
1985,All Formats,13.202118055555543,221.06306306306305,21,864,51840.700000000004
1986,All Formats,13.104051204819266,276.4885598923284,52,1328,78833.61000000003
1987,All Formats,11.97201070336391,749.8895497026338,41,1308,69042.15000000004
1988,All Formats,15.091982378854603,266.71881060116357,46,1589,110244.54000000014
1989,All Formats,16.685425772418945,272.04926108374383,43,1327,99405.92000000013
1990,All Formats,15.003676840215377,328.3310023310023,57,2785,186840.55000000042
1991,All Formats,13.316978661493653,249.65746971736203,73,2062,121524.19000000015
1992,All Formats,14.913210823909456,246.2270992366412,97,2476,170302.05000000042
1993,All Formats,12.700391919191928,402.8672286617492,90,2475,141017.27000000016
1994,All Formats,22.66229287090554,318.4094185487746,116,2595,266553.4099999999
1995,All Formats,14.556484103660015,217.70064252336448,113,3743,243920.08000000127
1996,All Formats,13.22410564561202,321.4451354953354,113,3578,209207.02000000048
1997,All Formats,15.057964946445887,267.9747075561176,132,4108,274026.2799999998
1998,All Formats,14.7362096138691,336.773974463461,172,5076,331046.1699999997
1999,All Formats,15.483648808118996,360.9064248177657,198,8474,573579.6499999957
2000,All Formats,13.643759934548806,330.07180722891565,208,8556,500274.4499999968
2001,All Formats,14.824491062827816,299.9331333047578,223,9343,615305.759999996
2002,All Formats,13.704566492064854,335.3142689371697,273,12791,782066.3399999926
2003,All Formats,14.643204243574369,367.38598953681253,305,11594,747826.5699999919
2004,All Formats,15.857882615156202,371.2201971915148,342,12114,826505.1199999979
2005,All Formats,21.973319094974354,486.73850552507537,406,14983,1492420.5300000077
2006,All Formats,14.784977617964513,329.05580251584223,437,13627,888025.3599999936
2007,All Formats,14.489823415704533,313.204848003179,504,19141,1228270.8700000078
2008,All Formats,15.450804013770982,389.0247501469724,576,23817,1610147.0000000198
2009,All Formats,15.231847720810988,376.03470269816626,734,32007,2106346.17000004
2010,All Formats,17.056161991755147,352.55417956656345,757,37113,2846128.9500000803
2011,All Formats,16.47288341403474,376.94779863181896,864,39859,2882931.8700000667
2012,All Formats,16.89699497066274,345.7368879889761,1033,47720,3586459.2800001316
2013,All Formats,14.599514589126855,363.2495002237804,1163,59702,3856053.0900001004
2014,All Formats,15.08893747876393,351.0493436474449,1257,58860,3965541.1400001035
2015,All Formats,14.792196737646897,311.7193708143396,1239,54194,3524167.1400001477
2016,All Formats,16.38682774877964,342.59726587531657,1281,41573,3056722.0900001056
2017,All Formats,15.516816445376524,318.5683852952184,1357,42930,2992539.39000011
2018,All Formats,17.507572387050885,327.69843424458617,1238,39198,3121287.0300000845
2019,All Formats,14.413546834636623,330.04513465327955,1178,28255,1796427.8000000427
2020,All Formats,14.761810004621719,307.511954459203,1093,28125,1818781.750000033
2021,All Formats,15.12831490560135,336.7878728285808,919,19173,1287916.5100000147
2022,All Formats,15.267455805064701,374.02428049123466,594,12558,835604.3399999953
2023,All Formats,16.27320127504549,305.976872246696,155,2196,152950.4500000001
